cid,Name,SMILES,InChIKey,Molecular_Weight,XLogP,Polar_Area,Valid_SMILES,Canonical_SMILES,Seen_in_training,Predicted_Activity,Probability_Active
142677260,"2-[4-[3-(Trifluoromethyl)anilino]-7,8-dihydro-[1,4]dioxino[2,3-g]quinazolin-7-yl]ethanol",C1C(OC2=C(O1)C=C3C(=C2)C(=NC=N3)NC4=CC=CC(=C4)C(F)(F)F)CCO,LMFXDNAUQZELKT-UHFFFAOYSA-N,391.3,3.8,76.5,True,OCCC1COc2cc3ncnc(Nc4cccc(C(F)(F)F)c4)c3cc2O1,False,1,0.99924636
20747416,"N-(3-bromophenyl)-7-ethyl-7,8-dihydro-[1,4]dioxino[2,3-g]quinazolin-4-amine",CCC1COC2=C(O1)C=C3C(=C2)N=CN=C3NC4=CC(=CC=C4)Br,UOQHJNRGUXHCLJ-UHFFFAOYSA-N,386.2,4.8,56.3,True,CCC1COc2cc3ncnc(Nc4cccc(Br)c4)c3cc2O1,False,1,0.99921453
20747417,"7-ethyl-N-(3-methylphenyl)-7,8-dihydro-[1,4]dioxino[2,3-g]quinazolin-4-amine",CCC1COC2=C(O1)C=C3C(=C2)N=CN=C3NC4=CC=CC(=C4)C,KIAIZLGBONMUGJ-UHFFFAOYSA-N,321.4,4.5,56.3,True,CCC1COc2cc3ncnc(Nc4cccc(C)c4)c3cc2O1,False,1,0.99921453
122232433,"7-N-(2-aminoethyl)-4-N-(3-methoxyphenyl)-7,8-dihydro-[1,4]dioxino[2,3-g]quinazoline-4,7-diamine",COC1=CC=CC(=C1)NC2=NC=NC3=CC4=C(C=C32)OC(CO4)NCCN,SJBJRRKNXIEGRM-UHFFFAOYSA-N,367.4,1.9,104.0,True,COc1cccc(Nc2ncnc3cc4c(cc23)OC(NCCN)CO4)c1,False,1,0.99919826
20747425,"(3-Chlorophenyl)-(7-methoxymethyl-[1,4]-dioxano[2,3-g]quinazolin-4-yl)-amine",COCC1COC2=C(O1)C=C3C(=C2)N=CN=C3NC4=CC(=CC=C4)Cl,OSKQNDOCVLXTRN-UHFFFAOYSA-N,357.8,3.7,65.5,True,COCC1COc2cc3ncnc(Nc4cccc(Cl)c4)c3cc2O1,False,1,0.99919254
20747426,"N-(3-chlorophenyl)-7,8-bis(methoxymethyl)-7,8-dihydro-[1,4]dioxino[2,3-g]quinazolin-4-amine",COCC1C(OC2=C(O1)C=C3C(=C2)N=CN=C3NC4=CC(=CC=C4)Cl)COC,OGSIXNADGNBMNO-UHFFFAOYSA-N,401.8,3.6,74.7,True,COCC1Oc2cc3ncnc(Nc4cccc(Cl)c4)c3cc2OC1COC,False,1,0.99919254
11509595,"(7R,8R)-N-(3-chlorophenyl)-7,8-bis(methoxymethyl)-7,8-dihydro-[1,4]dioxino[2,3-g]quinazolin-4-amine",COC[C@@H]1[C@H](OC2=C(O1)C=C3C(=C2)N=CN=C3NC4=CC(=CC=C4)Cl)COC,OGSIXNADGNBMNO-RTBURBONSA-N,401.8,3.6,74.7,True,COC[C@H]1Oc2cc3ncnc(Nc4cccc(Cl)c4)c3cc2O[C@@H]1COC,False,1,0.99919254
138478954,"N-[3-[[4-(trifluoromethyl)phenyl]methoxy]phenyl]-2,5,8,11-tetraoxa-15,17-diazatricyclo[10.8.0.014,19]icosa-1(12),13,15,17,19-pentaen-18-amine",C1COCCOC2=C(C=C3C(=C2)N=CN=C3NC4=CC(=CC=C4)OCC5=CC=C(C=C5)C(F)(F)F)OCCO1,IKXRHSUTFQIRKQ-UHFFFAOYSA-N,541.5,5.2,84.0,True,FC(F)(F)c1ccc(COc2cccc(Nc3ncnc4cc5c(cc34)OCCOCCOCCO5)c2)cc1,False,1,0.99917287
155559607,"N-[3-[[4-(trifluoromethyl)phenyl]methoxy]phenyl]-2,5,8,11,14-pentaoxa-18,20-diazatricyclo[13.8.0.017,22]tricosa-1(15),16,18,20,22-pentaen-21-amine",C1COCCOC2=C(C=C3C(=C2)C(=NC=N3)NC4=CC(=CC=C4)OCC5=CC=C(C=C5)C(F)(F)F)OCCOCCO1,SCUIYZQNINZQSN-UHFFFAOYSA-N,585.6,5.0,93.2,True,FC(F)(F)c1ccc(COc2cccc(Nc3ncnc4cc5c(cc34)OCCOCCOCCOCCO5)c2)cc1,False,1,0.99917287
155549818,"N-[3-[[4-(trifluoromethyl)phenyl]methoxy]phenyl]-11,14,17-trioxa-4,6-diazatricyclo[8.7.0.03,8]heptadeca-1(10),2,4,6,8-pentaen-7-amine",C1COC2=C(C=C3C(=C2)C(=NC=N3)NC4=CC(=CC=C4)OCC5=CC=C(C=C5)C(F)(F)F)OCCO1,LLXVOSIOTOFCTJ-UHFFFAOYSA-N,497.5,5.3,74.7,True,FC(F)(F)c1ccc(COc2cccc(Nc3ncnc4cc5c(cc34)OCCOCCO5)c2)cc1,False,1,0.99917287
20747415,"7-(methoxymethyl)-N-(3-methylphenyl)-7,8-dihydro-[1,4]dioxino[2,3-g]quinazolin-4-amine",CC1=CC(=CC=C1)NC2=NC=NC3=CC4=C(C=C32)OC(CO4)COC,UCEFAEGBUZAGMX-UHFFFAOYSA-N,337.4,3.4,65.5,True,COCC1COc2cc3ncnc(Nc4cccc(C)c4)c3cc2O1,False,1,0.9991698
54422424,4-[(3-Bromophenyl)amino]-6-oxiranylmethoxy-7-methoxyquinazoline,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=CC=C3)Br)OCC4CO4,WBSZJLBHGYRUJI-UHFFFAOYSA-N,402.2,3.7,68.8,True,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCC1CO1,False,1,0.9991698
20747420,"N-(3-bromophenyl)-7,8-bis(methoxymethyl)-7,8-dihydro-[1,4]dioxino[2,3-g]quinazolin-4-amine",COCC1C(OC2=C(O1)C=C3C(=C2)N=CN=C3NC4=CC(=CC=C4)Br)COC,NBSFSKPASZCVLV-UHFFFAOYSA-N,446.3,3.7,74.7,True,COCC1Oc2cc3ncnc(Nc4cccc(Br)c4)c3cc2OC1COC,False,1,0.9991698
20747423,"7-(methoxymethyl)-N-[3-(trifluoromethyl)phenyl]-7,8-dihydro-[1,4]dioxino[2,3-g]quinazolin-4-amine",COCC1COC2=C(O1)C=C3C(=C2)N=CN=C3NC4=CC=CC(=C4)C(F)(F)F,NIOFYJDHEUFSFF-UHFFFAOYSA-N,391.3,3.9,65.5,True,COCC1COc2cc3ncnc(Nc4cccc(C(F)(F)F)c4)c3cc2O1,False,1,0.9991698
11496019,"(7R,8R)-N-(3-bromophenyl)-7,8-bis(methoxymethyl)-7,8-dihydro-[1,4]dioxino[2,3-g]quinazolin-4-amine",COC[C@@H]1[C@H](OC2=C(O1)C=C3C(=C2)N=CN=C3NC4=CC(=CC=C4)Br)COC,NBSFSKPASZCVLV-RTBURBONSA-N,446.3,3.7,74.7,True,COC[C@H]1Oc2cc3ncnc(Nc4cccc(Br)c4)c3cc2O[C@@H]1COC,False,1,0.9991698
10939286,"(3-Iodophenyl)-(7-methoxymethyl-[1,4]-dioxano[2,3-g]quinazolin-4-yl)-amine",COCC1COC2=C(O1)C=C3C(=C2)N=CN=C3NC4=CC(=CC=C4)I,QTSBFJRVBUIZJC-UHFFFAOYSA-N,449.2,3.7,65.5,True,COCC1COc2cc3ncnc(Nc4cccc(I)c4)c3cc2O1,False,1,0.9991698
12134606,"(3-Fluorophenyl)-(7-methoxymethyl-[1,4]-dioxano[2,3-g]quinazolin-4-yl)-amine",COCC1COC2=C(O1)C=C3C(=C2)N=CN=C3NC4=CC(=CC=C4)F,ORJADJFYCJJPNZ-UHFFFAOYSA-N,341.3,3.2,65.5,True,COCC1COc2cc3ncnc(Nc4cccc(F)c4)c3cc2O1,False,1,0.9991698
11712931,"(7R,8R)-N-(3-iodophenyl)-7,8-bis(methoxymethyl)-7,8-dihydro-[1,4]dioxino[2,3-g]quinazolin-4-amine",COC[C@@H]1[C@H](OC2=C(O1)C=C3C(=C2)N=CN=C3NC4=CC(=CC=C4)I)COC,TVSKFMAUUMEPPY-RTBURBONSA-N,493.3,3.6,74.7,True,COC[C@H]1Oc2cc3ncnc(Nc4cccc(I)c4)c3cc2O[C@@H]1COC,False,1,0.9991698
