cid,Name,SMILES,InChIKey,Molecular_Weight,XLogP,Polar_Area,Valid_SMILES,Canonical_SMILES,Seen_in_training,Predicted_Activity,Probability_Active,Max_Training_Tanimoto
142677260,"2-[4-[3-(Trifluoromethyl)anilino]-7,8-dihydro-[1,4]dioxino[2,3-g]quinazolin-7-yl]ethanol",C1C(OC2=C(O1)C=C3C(=C2)C(=NC=N3)NC4=CC=CC(=C4)C(F)(F)F)CCO,LMFXDNAUQZELKT-UHFFFAOYSA-N,391.3,3.8,76.5,True,OCCC1COc2cc3ncnc(Nc4cccc(C(F)(F)F)c4)c3cc2O1,False,1,0.99924636,0.35064935064935066
20747416,"N-(3-bromophenyl)-7-ethyl-7,8-dihydro-[1,4]dioxino[2,3-g]quinazolin-4-amine",CCC1COC2=C(O1)C=C3C(=C2)N=CN=C3NC4=CC(=CC=C4)Br,UOQHJNRGUXHCLJ-UHFFFAOYSA-N,386.2,4.8,56.3,True,CCC1COc2cc3ncnc(Nc4cccc(Br)c4)c3cc2O1,False,1,0.99921453,0.559322033898305
20747417,"7-ethyl-N-(3-methylphenyl)-7,8-dihydro-[1,4]dioxino[2,3-g]quinazolin-4-amine",CCC1COC2=C(O1)C=C3C(=C2)N=CN=C3NC4=CC=CC(=C4)C,KIAIZLGBONMUGJ-UHFFFAOYSA-N,321.4,4.5,56.3,True,CCC1COc2cc3ncnc(Nc4cccc(C)c4)c3cc2O1,False,1,0.99921453,0.5087719298245614
122232433,"7-N-(2-aminoethyl)-4-N-(3-methoxyphenyl)-7,8-dihydro-[1,4]dioxino[2,3-g]quinazoline-4,7-diamine",COC1=CC=CC(=C1)NC2=NC=NC3=CC4=C(C=C32)OC(CO4)NCCN,SJBJRRKNXIEGRM-UHFFFAOYSA-N,367.4,1.9,104.0,True,COc1cccc(Nc2ncnc3cc4c(cc23)OC(NCCN)CO4)c1,False,1,0.99919826,0.44776119402985076
20747425,"(3-Chlorophenyl)-(7-methoxymethyl-[1,4]-dioxano[2,3-g]quinazolin-4-yl)-amine",COCC1COC2=C(O1)C=C3C(=C2)N=CN=C3NC4=CC(=CC=C4)Cl,OSKQNDOCVLXTRN-UHFFFAOYSA-N,357.8,3.7,65.5,True,COCC1COc2cc3ncnc(Nc4cccc(Cl)c4)c3cc2O1,False,1,0.99919254,0.47540983606557374
20747426,"N-(3-chlorophenyl)-7,8-bis(methoxymethyl)-7,8-dihydro-[1,4]dioxino[2,3-g]quinazolin-4-amine",COCC1C(OC2=C(O1)C=C3C(=C2)N=CN=C3NC4=CC(=CC=C4)Cl)COC,OGSIXNADGNBMNO-UHFFFAOYSA-N,401.8,3.6,74.7,True,COCC1Oc2cc3ncnc(Nc4cccc(Cl)c4)c3cc2OC1COC,False,1,0.99919254,0.5272727272727272
11509595,"(7R,8R)-N-(3-chlorophenyl)-7,8-bis(methoxymethyl)-7,8-dihydro-[1,4]dioxino[2,3-g]quinazolin-4-amine",COC[C@@H]1[C@H](OC2=C(O1)C=C3C(=C2)N=CN=C3NC4=CC(=CC=C4)Cl)COC,OGSIXNADGNBMNO-RTBURBONSA-N,401.8,3.6,74.7,True,COC[C@H]1Oc2cc3ncnc(Nc4cccc(Cl)c4)c3cc2O[C@@H]1COC,False,1,0.99919254,0.5272727272727272
138478954,"N-[3-[[4-(trifluoromethyl)phenyl]methoxy]phenyl]-2,5,8,11-tetraoxa-15,17-diazatricyclo[10.8.0.014,19]icosa-1(12),13,15,17,19-pentaen-18-amine",C1COCCOC2=C(C=C3C(=C2)N=CN=C3NC4=CC(=CC=C4)OCC5=CC=C(C=C5)C(F)(F)F)OCCO1,IKXRHSUTFQIRKQ-UHFFFAOYSA-N,541.5,5.2,84.0,True,FC(F)(F)c1ccc(COc2cccc(Nc3ncnc4cc5c(cc34)OCCOCCOCCO5)c2)cc1,False,1,0.99917287,0.39436619718309857
155559607,"N-[3-[[4-(trifluoromethyl)phenyl]methoxy]phenyl]-2,5,8,11,14-pentaoxa-18,20-diazatricyclo[13.8.0.017,22]tricosa-1(15),16,18,20,22-pentaen-21-amine",C1COCCOC2=C(C=C3C(=C2)C(=NC=N3)NC4=CC(=CC=C4)OCC5=CC=C(C=C5)C(F)(F)F)OCCOCCO1,SCUIYZQNINZQSN-UHFFFAOYSA-N,585.6,5.0,93.2,True,FC(F)(F)c1ccc(COc2cccc(Nc3ncnc4cc5c(cc34)OCCOCCOCCOCCO5)c2)cc1,False,1,0.99917287,0.39436619718309857
155549818,"N-[3-[[4-(trifluoromethyl)phenyl]methoxy]phenyl]-11,14,17-trioxa-4,6-diazatricyclo[8.7.0.03,8]heptadeca-1(10),2,4,6,8-pentaen-7-amine",C1COC2=C(C=C3C(=C2)C(=NC=N3)NC4=CC(=CC=C4)OCC5=CC=C(C=C5)C(F)(F)F)OCCO1,LLXVOSIOTOFCTJ-UHFFFAOYSA-N,497.5,5.3,74.7,True,FC(F)(F)c1ccc(COc2cccc(Nc3ncnc4cc5c(cc34)OCCOCCO5)c2)cc1,False,1,0.99917287,0.39436619718309857
